SITE_CODE,SC_NEW,COMMON_NAM,DESIGNATED,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,MANAGING_D,COUNCIL_DI,COUNCIL_1,USE_RESTRI,MWWD_WATER,DEDIC_PK_O,SHAPE_AREA,SHAPE_LEN
F601RD,F601RD,ROLLING HILLS PARK    145,NEIGHBORHD PARK,5.74200000,ALMAZON ST S. OF MADRIGAL,1169H7,RANCHO PENASQUITOS,PARK AND RECREATION,1,,MULTIPLE,N,Y,249748.68495600001,2273.67824057000
G408RS,G408RS,TORREY RCH NBRHD PARK,NEIGHBORHD PARK,5.34700000,TORREY MEADOWS DR WLY CAMINO RUIZ,1189A4,TORREY HIGHLANDS,PARK AND RECREATION,1,,NONE,N,N,232882.46505200001,2041.19586339000
G604RD,G604RD,HIGHLAND RANCH PK     111,NEIGHBORHD PARK,4.77000000,HIGHLAND RCH RD/EASTBOURNE,1190A1,CARMEL MTN RANCH,PARK AND RECREATION,5,,SEE L1203 ENTRIES,N,Y,207456.76974700001,1961.96818830000
H214RD,H214RD,CARMEL DEL MAR PARK   190,NEIGHBORHD PARK,12.09300000,CARMEL PARK DR/CYPRESS DEL MAR,1188A7,CARMEL VALLEY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,543857.30891699996,4777.31541937000
C601RS,C601RS,RHO BERNARDO PK EXPANSION,COMMUNITY PARK,2.49400000,W. BERNARDO RD NLY AGUAMIEL RD,1150A6,SAN PASQUAL VALLEY,PARK AND RECREATION,5,,NONE,N,N,34933.45502890000,969.30319592400
F502R1,F502R1,HILLTOP P&RC          140,COMMUNITY PARK,34.11000000,OVIEDO ST ELY BLK MTN RD,1189E2,RANCHO PENASQUITOS,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,1438118.89835999999,4643.67299042000
F608RD,F608RD,CARMEL MTN RCH POOL,COMMUNITY CENTER,1.35700000,NLY WORLD TRADE DR ELY HIGHLAND RCH,1190A1,CARMEL MTN RANCH,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,59126.86585360000,1063.79583101000
G406RS,G406RS,TORREY DEL MAR NBRD PARK,NEIGHBORHD PARK,3.67700000,TORREY DEL MAR DR ELY/SLY KERRY LN,1188J3,TORREY HIGHLANDS,PARK AND RECREATION,1,,NONE,N,N,160187.33644000001,2104.06885378000
G516RD,G516RD,ADOBE BLUFFS PARK    141,NEIGHBORHD PARK,5.15700000,SLY ADOBE BLUFFS DR/HAMPE CT,1189C2,RANCHO PENASQUITOS,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,224494.38164700000,2082.21137133000
G603RD,G603RD,CARMEL MTN RCH CMTY PK,COMMUNITY PARK,18.30800000,RHO CARMEL DR/N CITY PKWY,1189H3,CARMEL MTN RANCH,PARK AND RECREATION,5,,SEE L1203 ENTRIES,N,Y,803591.33171399997,3653.72141477000
H227RS,H227RS,CARMEL GROVE O/S REN PK,NEIGHBORHD PARK,3.00000000,CARMEL CREEK RD AT CARMEL GROVE,1188A7,CARMEL VALLEY,PARK AND RECREATION,1,,NONE,N,N,121610.43014500001,1430.72580668000
H332RS,H332RS,WINDWOOD MINI-PARK,NEIGHBORHD PARK,1.10300000,CARMEL CREEK RD NLY PASEO MONTANAS,1188B6,CARMEL VALLEY,PARK AND RECREATION,1,,NONE,N,N,51096.08439600000,1045.23241988000
N604RD,N604RD,ROADRUNNER PARK       341,NEIGHBORHD PARK,13.42000000,SANTO RD SLY TIERRA SANTA,1249H2,TIERRASANTA,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,442348.95061000000,3206.49750458000
J603R1,J603R1,FORESTVIEW MINI-PARK  230,NEIGHBORHD PARK,0.35800000,FORESTVIEW LN ELY PINE FALL CT,1209J3,SCRIPPS MIRAMAR RCH,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,14292.33694770000,482.63871156300
H342RS,H342RS,DEL MAR TRAILS PARK,NEIGHBORHD PARK,3.00000000,SLY DEL MAR TRAILS NLY SR,,CARMEL VALLEY,PARK AND RECREATION,1,,NONE,N,N,130666.89542099999,1838.55128589000
H414RS,H414RS,DEL MAR MESA NBHD PARK,NEIGHBORHD PARK,3.71400000,ELY CARMEL MTN RD NLY DUCK POND LN,1188G7,DEL MAR MESA,PARK AND RECREATION,1,,SEE L1203 ENTRIES,N,N,161799.30993100000,1787.32597358000
H501RD,H501RD,TWIN TRAILS PARK      141,NEIGHBORHD PARK,6.70200000,TWIN TRAILS DR NLY CAYOTE AV,1189C4,RANCHO PENASQUITOS,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,291558.85900200001,2440.27352712000
H506RS,H506RS,PENASQUITOS TOWN CTR PK,NEIGHBORHD PARK,1.75700000,PASEO MONTALBAN SLY/ELY SALMON RIVER,1189E4,RANCHO PENASQUITOS,PARK AND RECREATION,1,,NONE,N,N,83145.80528510000,1811.01576962000
H616RD,H616RD,SOUTH CREEK NBHD PARK,NEIGHBORHD PARK,4.63000000,WICKERBAY CV SLY SABER SPRINGS PKWY,1190A6,SABRE SPRINGS,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,201828.25508999999,2249.37380321000
I307RD,I307RD,TORREY HILLS PARK,NEIGHBORHD PARK,15.00000000,CARMEL MTN RD NLY CALLE MEJILLONES,1208B3,TORREY HILLS,PARK AND RECREATION,1,,NONE,N,Y,651699.82626400003,3914.63165677000
I401RD,I401RD,SANDBURG PARK         221,NEIGHBORHD PARK,4.81900000,AVENIDA DEL GATO & ZAPATA AVE,1209B2,MIRA MESA,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,207926.74769500000,1865.91944570000
I401RS,I401RS,SANDBURG PARK         221,NEIGHBORHD PARK,0.01700000,AV. DEL GATO & C ZAPATA,1209B2,MIRA MESA,PARK AND RECREATION,5,,NONE,N,N,619.49280387900,140.43409037300
I402R3,I402R3,PENASQUITOS CREEK NBHD PK,NEIGHBORHD PARK,6.16000000,CAMINO RUIZ & PARK VILLAGE RD,1189A7,MIRA MESA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,266439.07708500000,2120.83932970000
I501RD,I501RD,MESA VIKING PARK      222,NEIGHBORHD PARK,6.66900000,WESTONHILL DR NLY CAPRICORN,1209C2,MIRA MESA,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,288970.02425199997,2195.08358094000
I508RD,I508RD,WESTVIEW PARK         223,NEIGHBORHD PARK,9.06200000,SW COR CAPRICORN WAY,1209E2,MIRA MESA,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,376617.77752200002,2460.30829522000
I510RS,I510RS,BREEN NEIGHBORHOOD PARK,NEIGHBORHD PARK,9.85000000,POLARIS DR SLY CAPRICORN WY,1209D2,MIRA MESA,PARK AND RECREATION,5,,NONE,N,N,430220.49977499997,2656.57654167000
I608RD,I608RD,SEMILLON MINI-PARK    230,NEIGHBORHD PARK,0.41200000,SEMILLON BL ELY CHARBONO ST,1210B3,SCRIPPS MIRAMAR RCH,PARK AND RECREATION,5,,UNKNOWN,N,Y,18986.54315870000,661.35768088200
I620RD,I620RD,SPRING CANYON NBHD PARK,NEIGHBORHD PARK,18.95000000,SCRIPPS POWAY PKWY WLY SPRING CYN RD,1189H7,MIRAMAR RANCH NORTH,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,822566.85236300004,6027.85756601000
J202RS,J202RS,TORREY PINES PARK,REGIONAL PARK,12.39000000,LA JOLLA FARMS RD WLY,1227H1,LA JOLLA,PARK AND RECREATION,1,,NONE,N,N,541559.72675100004,3438.73657613000
J401RS,J401RS,WINTERWOOD COMMUNITY PARK,COMMUNITY PARK,20.00000000,SLY SORRENTO VLY BLVD ELY I-805,1209A4,MIRA MESA,PARK AND RECREATION,5,,NONE,N,N,882363.31870599999,3990.73072544000
J502RD,J502RD,MESA VERDE PARK       225,NEIGHBORHD PARK,4.99800000,GOLD COAST DR & SALUDA AVE,1209B5,MIRA MESA,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,204071.29223699999,1842.03995372000
C601RD,C601RD,RHO BERNARDO CMTY PK  100,COMMUNITY PARK,35.10000000,W BERNARDO DR SLY POMERADO,1150A6,SAN PASQUAL VALLEY,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,1143099.11015000008,4427.05430161000
J601RD,J601RD,AVIARY PARK,NEIGHBORHD PARK,2.25000000,AVIARY DR SLY ATRIUM DR,1209G5,SCRIPPS MIRAMAR RCH,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,98261.38097250000,1303.72119290000
F411RS,F411RS,BLACK MTN NBHD PARK,NEIGHBORHD PARK,4.37600000,NLY VIA INEZ WLY VIA AZUL,1168J6,BLACK MOUNTAIN RANCH,PARK AND RECREATION,1,,SEE L1203 ENTRIES,N,N,190263.15797900001,2052.65396439000
F504RS,F504RS,BLACK MTN RCH COMM PARK,COMMUNITY PARK,42.94000000,ELY CARMEL VLY RD NLY BLACK MTN RD,1169D7,BLACK MOUNTAIN RANCH,PARK AND RECREATION,1,,SEE L1203 ENTRIES,N,N,1870257.08024000004,5822.85132645000
H339RS,H339RS,CARMEL MISSION PARK,NEIGHBORHD PARK,2.93000000,CARMEL COUNTRY & CARME MISSION RDS,1188B6,CARMEL VALLEY,PARK AND RECREATION,1,,NONE,N,N,127606.49942399999,1590.05122320000
H504RD,H504RD,RIDGEWOOD PARK        131,NEIGHBORHD PARK,8.53000000,NWLY PASEO MONTRIL AT CARBEZON,1189F6,RANCHO PENASQUITOS,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,363025.04013300000,2682.85255624000
H515RS,H515RS,VIEWS WEST PARK      131,NEIGHBORHD PARK,19.74000000,LA TORTOLLA NLY CLLE DELA ROSAS,1189F5,RANCHO PENASQUITOS,PARK AND RECREATION,1,,NONE,N,N,847358.92545099999,4172.83873105000
H601RD,H601RD,SABRE SPRINGS PARK    114,NEIGHBORHD PARK,11.23000000,SABRE SPGS PKWY SE EVENING CRK,1189H5,SABRE SPRINGS,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,511101.28575099999,3649.85371476000
I305RS,I305RS,NEIGHBORHOOD PARK 10,NEIGHBORHD PARK,11.36700000,SELY UNNAMED RD,1208D2,CARMEL VALLEY,PARK AND RECREATION,1,,NONE,N,N,503945.47637799999,3610.37225649000
I402R4,I402R4,CAMINO RUIZ PARK,NEIGHBORHD PARK,11.41000000,CAMINO RUIZ NWLY/NLY CALLE CRISTOBAL,1209B2,MIRA MESA,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,485659.19607499999,4786.45465956000
I402RD,I402RD,CANYONSIDE CMTY PARK  130,COMMUNITY PARK,42.88500000,BLACK MT RD NLY PENASQUITOS CYN,1189E6,RANCHO PENASQUITOS,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,1867109.86844999995,7177.68436709000
H218RD,H218RD,SOLANA HIGHLAND PARK  190,NEIGHBORHD PARK,11.98000000,HIGH BLUFF DR NELY LONG RUN DR,1187J5,CARMEL VALLEY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,514538.26505099999,5832.41794547000
H219RD,H219RD,CARMEL VLY TWN CTR COM PK,COMMUNITY PARK,18.71900000,EL CAM REAL SLY DEL MAR HTS WY,1188A6,CARMEL VALLEY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,815647.74389699998,4638.92700277000
H327RD,H327RD,ASHLEY FALLS PARK,NEIGHBORHD PARK,11.69000000,ASHLEY FALLS DR ELY DEL MAR HTS RD,1188D4,CARMEL VALLEY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,507926.78401700000,3955.56836697000
H329RD,H329RD,CARMEL CREEK NBHD PARK,NEIGHBORHD PARK,11.50000000,CARMEL CTR RD ELY CARMEL CREEK RD,1188B5,CARMEL VALLEY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,500338.40487299999,3454.93357050000
I622R1,I622R1,CANYON VIEW POCKET PK,NEIGHBORHD PARK,1.49900000,SPRINGS CYN RD WLY CYPRESS CYN RD,1210B2,MIRAMAR RANCH NORTH,PARK AND RECREATION,5,,NONE,N,N,65293.97676280000,1273.65469683000
